,Year,Month,Day,Hour,Minute,temp_air,dew_point,dhi,dni,ghi,albedo,pressure,wind_direction,wind_speed,relative_humidity
1999-01-03 08:30:00-05:00,1999,1,3,8,30,10.1,8.8,15.0,0.0,15.0,0.14,1004.0,141.0,10.7,91.63559758980668
1999-01-03 09:30:00-05:00,1999,1,3,9,30,11.0,9.8,39.0,0.0,39.0,0.14,1001.0,147.0,11.4,92.30907922238286
1999-01-03 10:30:00-05:00,1999,1,3,10,30,11.7,10.8,36.0,0.0,36.0,0.14,999.0,155.0,11.6,94.21224441283708
1999-01-03 11:30:00-05:00,1999,1,3,11,30,11.8,11.5,53.0,0.0,53.0,0.14,998.0,165.0,10.9,98.03840332124533
1999-01-03 12:30:00-05:00,1999,1,3,12,30,11.5,11.5,30.0,0.0,30.0,0.14,997.0,175.0,9.0,100.0
1999-01-03 13:30:00-05:00,1999,1,3,13,30,10.6,10.6,87.0,0.0,87.0,0.14,996.0,179.0,6.0,100.0
1999-01-03 14:30:00-05:00,1999,1,3,14,30,9.4,9.4,9.0,0.0,9.0,0.14,994.0,197.0,3.3000000000000003,100.0
1999-01-03 15:30:00-05:00,1999,1,3,15,30,8.200000000000001,8.200000000000001,48.0,504.0,137.0,0.14,995.0,241.0,3.1,100.0
1999-01-03 16:30:00-05:00,1999,1,3,16,30,7.0,7.0,12.0,160.0,16.0,0.14,996.0,267.0,4.9,100.0
1999-01-03 17:30:00-05:00,1999,1,3,17,30,5.4,5.4,0.0,0.0,0.0,0.14,999.0,264.0,6.2,100.0
1999-01-03 18:30:00-05:00,1999,1,3,18,30,3.5,3.5,0.0,0.0,0.0,0.14,1001.0,263.0,6.300000000000001,100.0
1999-01-03 19:30:00-05:00,1999,1,3,19,30,2.0,2.0,0.0,0.0,0.0,0.14,1002.0,264.0,5.9,100.0
1999-01-03 20:30:00-05:00,1999,1,3,20,30,0.8,0.7000000000000001,0.0,0.0,0.0,0.14,1004.0,265.0,5.7,99.28185686821246
1999-01-03 21:30:00-05:00,1999,1,3,21,30,-0.1,-0.5,0.0,0.0,0.0,0.14,1005.0,267.0,5.6000000000000005,97.1339400037392
1999-01-03 22:30:00-05:00,1999,1,3,22,30,-0.8,-1.7000000000000002,0.0,0.0,0.0,0.14,1006.0,270.0,5.7,93.618343997189
1999-01-03 23:30:00-05:00,1999,1,3,23,30,-1.4,-2.8000000000000003,0.0,0.0,0.0,0.14,1007.0,276.0,5.7,90.18519890801244
1999-01-04 00:30:00-05:00,1999,1,4,0,30,-1.8,-3.8,0.0,0.0,0.0,0.14,1008.0,281.0,5.5,86.20508982232174
1999-01-04 01:30:00-05:00,1999,1,4,1,30,-2.1,-4.5,0.0,0.0,0.0,0.14,1008.0,284.0,5.4,83.62109853130086
1999-01-04 02:30:00-05:00,1999,1,4,2,30,-2.4000000000000004,-5.1000000000000005,0.0,0.0,0.0,0.14,1009.0,284.0,5.4,81.7101008357845
1999-01-04 03:30:00-05:00,1999,1,4,3,30,-2.7,-5.7,0.0,0.0,0.0,0.14,1010.0,285.0,5.5,79.82891437847108
1999-01-04 04:30:00-05:00,1999,1,4,4,30,-3.1,-6.5,0.0,0.0,0.0,0.14,1011.0,286.0,5.6000000000000005,77.36676116749845
1999-01-04 05:30:00-05:00,1999,1,4,5,30,-3.6,-7.4,0.0,0.0,0.0,0.14,1012.0,287.0,5.6000000000000005,74.93873311323213
1999-01-04 06:30:00-05:00,1999,1,4,6,30,-3.9,-8.200000000000001,0.0,0.0,0.0,0.14,1013.0,287.0,5.5,72.03754252822057
1999-01-04 07:30:00-05:00,1999,1,4,7,30,-3.9,-8.8,12.0,249.0,18.0,0.14,1014.0,285.0,5.6000000000000005,68.74919465500162
1999-01-04 08:30:00-05:00,1999,1,4,8,30,-3.4000000000000004,-9.3,91.0,137.0,114.0,0.14,1014.0,282.0,5.7,63.686514249088965
1999-01-04 09:30:00-05:00,1999,1,4,9,30,-2.7,-9.6,54.0,844.0,310.0,0.14,1015.0,278.0,5.7,59.04851653782011
1999-01-04 10:30:00-05:00,1999,1,4,10,30,-2.0,-9.8,60.0,918.0,422.0,0.14,1015.0,275.0,5.6000000000000005,55.19460733221435
1999-01-04 11:30:00-05:00,1999,1,4,11,30,-1.4,-9.8,63.0,946.0,482.0,0.14,1015.0,272.0,5.6000000000000005,52.812012991243776
1999-01-04 12:30:00-05:00,1999,1,4,12,30,-1.1,-9.7,64.0,932.0,477.0,0.14,1014.0,271.0,5.6000000000000005,52.07204264212904
1999-01-04 13:30:00-05:00,1999,1,4,13,30,-1.0,-9.6,61.0,904.0,419.0,0.14,1014.0,272.0,5.5,52.10063900428841
1999-01-04 14:30:00-05:00,1999,1,4,14,30,-1.3,-9.6,54.0,849.0,314.0,0.14,1014.0,274.0,5.4,53.257586012488844
1999-01-04 15:30:00-05:00,1999,1,4,15,30,-2.1,-9.5,40.0,697.0,165.0,0.14,1015.0,277.0,5.2,56.930601015480484
1999-01-04 16:30:00-05:00,1999,1,4,16,30,-2.8000000000000003,-9.2,13.0,280.0,20.0,0.14,1016.0,280.0,5.1000000000000005,61.38508640201967
1999-01-04 17:30:00-05:00,1999,1,4,17,30,-3.2,-9.1,0.0,0.0,0.0,0.14,1016.0,281.0,5.2,63.73504049270457
1999-01-04 18:30:00-05:00,1999,1,4,18,30,-3.5,-9.1,0.0,0.0,0.0,0.14,1017.0,282.0,5.4,65.17673405861021
1999-01-04 19:30:00-05:00,1999,1,4,19,30,-3.8,-9.3,0.0,0.0,0.0,0.14,1018.0,285.0,5.5,65.61860340396895
1999-01-04 20:30:00-05:00,1999,1,4,20,30,-4.1000000000000005,-9.7,0.0,0.0,0.0,0.14,1018.0,288.0,5.6000000000000005,65.03490795542905
1999-01-04 21:30:00-05:00,1999,1,4,21,30,-4.5,-10.0,0.0,0.0,0.0,0.14,1019.0,291.0,5.6000000000000005,65.45439640560055
1999-01-04 22:30:00-05:00,1999,1,4,22,30,-5.0,-10.2,0.0,0.0,0.0,0.14,1019.0,293.0,5.5,66.9057127682209
1999-01-04 23:30:00-05:00,1999,1,4,23,30,-5.5,-10.2,0.0,0.0,0.0,0.14,1019.0,295.0,5.300000000000001,69.48859449663912
1999-01-05 00:30:00-05:00,1999,1,5,0,30,-6.0,-10.2,0.0,0.0,0.0,0.14,1019.0,296.0,5.1000000000000005,72.18272151925208
1999-01-05 01:30:00-05:00,1999,1,5,1,30,-6.4,-10.2,0.0,0.0,0.0,0.14,1020.0,297.0,5.0,74.42165007971728
1999-01-05 02:30:00-05:00,1999,1,5,2,30,-6.7,-10.2,0.0,0.0,0.0,0.14,1020.0,299.0,4.9,76.15147081347057
1999-01-05 03:30:00-05:00,1999,1,5,3,30,-7.1000000000000005,-10.3,0.0,0.0,0.0,0.14,1020.0,301.0,4.800000000000001,77.90945998499694
1999-01-05 04:30:00-05:00,1999,1,5,4,30,-7.4,-10.3,0.0,0.0,0.0,0.14,1021.0,303.0,4.7,79.73124270828359
1999-01-05 05:30:00-05:00,1999,1,5,5,30,-7.7,-10.3,0.0,0.0,0.0,0.14,1021.0,305.0,4.6000000000000005,81.60043331505018
1999-01-05 06:30:00-05:00,1999,1,5,6,30,-7.9,-10.3,0.0,0.0,0.0,0.14,1022.0,308.0,4.4,82.87356461135147
1999-01-05 07:30:00-05:00,1999,1,5,7,30,-7.4,-10.4,12.0,223.0,17.0,0.14,1022.0,312.0,4.4,79.10294829574507
1999-01-05 08:30:00-05:00,1999,1,5,8,30,-6.300000000000001,-10.5,42.0,665.0,158.0,0.14,1023.0,317.0,4.3,72.1225361939539
1999-01-05 09:30:00-05:00,1999,1,5,9,30,-4.800000000000001,-10.3,57.0,824.0,308.0,0.14,1023.0,321.0,3.9,65.38370011641301
1999-01-05 10:30:00-05:00,1999,1,5,10,30,-3.5,-10.2,65.0,897.0,420.0,0.14,1023.0,321.0,3.6,59.77564516355298
1999-01-05 11:30:00-05:00,1999,1,5,11,30,-2.6,-10.3,68.0,915.0,475.0,0.14,1022.0,317.0,3.5,55.4652659170343
1999-01-05 12:30:00-05:00,1999,1,5,12,30,-2.0,-10.3,69.0,914.0,476.0,0.14,1022.0,311.0,3.4000000000000004,53.05930152485638
1999-01-05 13:30:00-05:00,1999,1,5,13,30,-1.7000000000000002,-10.4,66.0,882.0,418.0,0.14,1021.0,306.0,3.4000000000000004,51.491055202356605
1999-01-05 14:30:00-05:00,1999,1,5,14,30,-1.8,-10.4,60.0,805.0,308.0,0.14,1021.0,304.0,3.2,51.871295970678545
1999-01-05 15:30:00-05:00,1999,1,5,15,30,-2.5,-10.2,45.0,641.0,161.0,0.14,1022.0,305.0,2.8000000000000003,55.49289855660582
1999-01-05 16:30:00-05:00,1999,1,5,16,30,-3.5,-8.700000000000001,14.0,220.0,20.0,0.14,1022.0,308.0,2.5,67.24598478036792
1999-01-05 17:30:00-05:00,1999,1,5,17,30,-4.1000000000000005,-8.6,0.0,0.0,0.0,0.14,1023.0,313.0,2.5,70.88500906677179
1999-01-05 18:30:00-05:00,1999,1,5,18,30,-4.5,-8.9,0.0,0.0,0.0,0.14,1023.0,316.0,2.3000000000000003,71.35802802886954
1999-01-05 19:30:00-05:00,1999,1,5,19,30,-5.0,-9.3,0.0,0.0,0.0,0.14,1023.0,313.0,2.1,71.81699361788364
1999-01-05 20:30:00-05:00,1999,1,5,20,30,-5.4,-9.8,0.0,0.0,0.0,0.14,1024.0,304.0,2.0,71.17379656795968
1999-01-05 21:30:00-05:00,1999,1,5,21,30,-5.7,-10.3,0.0,0.0,0.0,0.14,1024.0,292.0,1.9,69.99711714267954
1999-01-05 22:30:00-05:00,1999,1,5,22,30,-6.0,-10.4,0.0,0.0,0.0,0.14,1024.0,284.0,2.0,71.05006484089927
1999-01-05 23:30:00-05:00,1999,1,5,23,30,-6.300000000000001,-10.5,0.0,0.0,0.0,0.14,1024.0,278.0,2.2,72.1225361939539
1999-01-06 00:30:00-05:00,1999,1,6,0,30,-6.6000000000000005,-10.5,0.0,0.0,0.0,0.14,1024.0,273.0,2.3000000000000003,73.79748429353897
1999-01-06 01:30:00-05:00,1999,1,6,1,30,-6.800000000000001,-10.5,0.0,0.0,0.0,0.14,1024.0,267.0,2.4000000000000004,74.93809872975798
1999-01-06 02:30:00-05:00,1999,1,6,2,30,-6.800000000000001,-10.6,0.0,0.0,0.0,0.14,1024.0,258.0,2.4000000000000004,74.34656261316728
1999-01-06 03:30:00-05:00,1999,1,6,3,30,-7.0,-10.7,0.0,0.0,0.0,0.14,1024.0,248.0,2.5,74.9011620993043
1999-01-06 04:30:00-05:00,1999,1,6,4,30,-7.4,-10.7,0.0,0.0,0.0,0.14,1023.0,242.0,2.7,77.24445929444668
1999-01-06 05:30:00-05:00,1999,1,6,5,30,-7.7,-10.6,0.0,0.0,0.0,0.14,1023.0,241.0,2.9000000000000004,79.68489568598011
1999-01-06 06:30:00-05:00,1999,1,6,6,30,-7.9,-10.6,0.0,0.0,0.0,0.14,1023.0,239.0,3.2,80.92814073283715
1999-01-06 07:30:00-05:00,1999,1,6,7,30,-7.0,-10.4,12.0,247.0,17.0,0.14,1023.0,236.0,3.6,76.70327175503247
1999-01-06 08:30:00-05:00,1999,1,6,8,30,-5.300000000000001,-10.1,39.0,671.0,157.0,0.14,1023.0,233.0,4.3,68.98506179211257
1999-01-06 09:30:00-05:00,1999,1,6,9,30,-3.9,-10.3,52.0,829.0,305.0,0.14,1023.0,229.0,4.800000000000001,61.10569849094866
1999-01-06 10:30:00-05:00,1999,1,6,10,30,-2.8000000000000003,-10.4,61.0,896.0,417.0,0.14,1022.0,224.0,5.0,55.850423687913256
1999-01-06 11:30:00-05:00,1999,1,6,11,30,-2.0,-9.9,238.0,29.0,251.0,0.14,1021.0,218.0,5.4,54.761521221242724
1999-01-06 12:30:00-05:00,1999,1,6,12,30,-1.4,-9.2,187.0,30.0,201.0,0.14,1020.0,214.0,5.6000000000000005,55.36026227151673
1999-01-06 13:30:00-05:00,1999,1,6,13,30,-0.9,-8.4,134.0,1.0,134.0,0.14,1018.0,211.0,5.9,56.81004856344157
1999-01-06 14:30:00-05:00,1999,1,6,14,30,-0.5,-7.4,128.0,4.0,130.0,0.14,1017.0,213.0,6.0,59.62123383655255
1999-01-06 15:30:00-05:00,1999,1,6,15,30,-0.4,-6.7,86.0,18.0,89.0,0.14,1017.0,217.0,6.2,62.46301677869306
1999-01-06 16:30:00-05:00,1999,1,6,16,30,-0.7000000000000001,-6.300000000000001,7.0,0.0,7.0,0.14,1016.0,221.0,6.2,65.82849911632094
1999-01-06 17:30:00-05:00,1999,1,6,17,30,-1.1,-6.0,0.0,0.0,0.0,0.14,1016.0,224.0,6.0,69.35071482827423
1999-01-06 18:30:00-05:00,1999,1,6,18,30,-1.5,-5.6000000000000005,0.0,0.0,0.0,0.14,1016.0,226.0,5.7,73.62172393913968
1999-01-06 19:30:00-05:00,1999,1,6,19,30,-1.8,-5.300000000000001,0.0,0.0,0.0,0.14,1015.0,226.0,5.4,76.99646356101587
1999-01-06 20:30:00-05:00,1999,1,6,20,30,-1.8,-4.9,0.0,0.0,0.0,0.14,1015.0,224.0,5.4,79.36233669499815
1999-01-06 21:30:00-05:00,1999,1,6,21,30,-1.4,-4.4,0.0,0.0,0.0,0.14,1014.0,223.0,5.6000000000000005,80.02334666356481
1999-01-06 22:30:00-05:00,1999,1,6,22,30,-1.1,-4.0,0.0,0.0,0.0,0.14,1014.0,223.0,5.9,80.67058182142841
1999-01-06 23:30:00-05:00,1999,1,6,23,30,-0.9,-3.6,0.0,0.0,0.0,0.14,1013.0,225.0,6.0,81.9153576831926
1999-01-07 00:30:00-05:00,1999,1,7,0,30,-0.7000000000000001,-3.2,0.0,0.0,0.0,0.14,1012.0,227.0,6.0,83.17304304715488
1999-01-07 01:30:00-05:00,1999,1,7,1,30,-0.6000000000000001,-2.8000000000000003,0.0,0.0,0.0,0.14,1012.0,232.0,5.9,85.06108499021242
1999-01-07 02:30:00-05:00,1999,1,7,2,30,-0.7000000000000001,-2.5,0.0,0.0,0.0,0.14,1012.0,240.0,5.7,87.61029144157635
1999-01-07 03:30:00-05:00,1999,1,7,3,30,-0.7000000000000001,-2.3000000000000003,0.0,0.0,0.0,0.14,1013.0,249.0,5.300000000000001,88.91608040381529
1999-01-07 04:30:00-05:00,1999,1,7,4,30,-0.6000000000000001,-2.1,0.0,0.0,0.0,0.14,1013.0,257.0,4.9,89.58358881510861
1999-01-07 05:30:00-05:00,1999,1,7,5,30,-0.5,-1.9,0.0,0.0,0.0,0.14,1014.0,265.0,4.800000000000001,90.25443967232712
1999-01-07 06:30:00-05:00,1999,1,7,6,30,-0.5,-1.9,0.0,0.0,0.0,0.14,1015.0,276.0,4.9,90.25443967232712
1999-01-07 07:30:00-05:00,1999,1,7,7,30,-0.5,-2.3000000000000003,2.0,0.0,2.0,0.14,1016.0,291.0,5.4,87.62946872353844
1999-01-07 08:30:00-05:00,1999,1,7,8,30,-0.3,-3.5,79.0,2.0,80.0,0.14,1018.0,305.0,6.0,78.99842475206793
1999-01-07 09:30:00-05:00,1999,1,7,9,30,-0.1,-6.1000000000000005,180.0,139.0,223.0,0.14,1019.0,308.0,6.2,63.9864248261855
1999-01-07 10:30:00-05:00,1999,1,7,10,30,0.0,-7.9,62.0,905.0,423.0,0.14,1020.0,304.0,6.0,55.313829273989
1999-01-07 11:30:00-05:00,1999,1,7,11,30,0.1,-8.700000000000001,64.0,940.0,484.0,0.14,1020.0,300.0,5.800000000000001,51.60319356996342
1999-01-07 12:30:00-05:00,1999,1,7,12,30,0.2,-9.2,63.0,944.0,487.0,0.14,1020.0,298.0,5.6000000000000005,49.267048633483824
1999-01-07 13:30:00-05:00,1999,1,7,13,30,0.0,-9.4,59.0,920.0,430.0,0.14,1021.0,297.0,5.6000000000000005,49.20850314079267
1999-01-07 14:30:00-05:00,1999,1,7,14,30,-0.6000000000000001,-9.7,52.0,855.0,320.0,0.14,1022.0,298.0,5.4,50.2049551887063
1999-01-07 15:30:00-05:00,1999,1,7,15,30,-1.6,-9.8,39.0,729.0,175.0,0.14,1023.0,300.0,5.0,53.59325240962428
1999-01-07 16:30:00-05:00,1999,1,7,16,30,-2.8000000000000003,-9.5,14.0,338.0,25.0,0.14,1024.0,303.0,4.5,59.9574711862028
1999-01-07 17:30:00-05:00,1999,1,7,17,30,-3.6,-9.2,0.0,0.0,0.0,0.14,1025.0,305.0,4.2,65.15314987834923
1999-01-07 18:30:00-05:00,1999,1,7,18,30,-4.2,-9.3,0.0,0.0,0.0,0.14,1025.0,305.0,4.0,67.61607568215801
1999-01-07 19:30:00-05:00,1999,1,7,19,30,-4.6000000000000005,-9.4,0.0,0.0,0.0,0.78,1026.0,303.0,3.9,69.13693366360508
1999-01-07 20:30:00-05:00,1999,1,7,20,30,-5.1000000000000005,-9.6,0.0,0.0,0.0,0.78,1027.0,302.0,3.8,70.67786778079653
1999-01-07 21:30:00-05:00,1999,1,7,21,30,-5.6000000000000005,-9.7,0.0,0.0,0.0,0.78,1028.0,302.0,3.6,72.83369221310038
1999-01-07 22:30:00-05:00,1999,1,7,22,30,-6.1000000000000005,-9.8,0.0,0.0,0.0,0.78,1028.0,307.0,3.4000000000000004,75.06677738025428
1999-01-07 23:30:00-05:00,1999,1,7,23,30,-6.5,-10.1,0.0,0.0,0.0,0.78,1028.0,314.0,3.2,75.58798703032863
1999-01-08 00:30:00-05:00,1999,1,8,0,30,-6.9,-10.3,0.0,0.0,0.0,0.78,1029.0,324.0,3.0,76.72062606317118
1999-01-08 01:30:00-05:00,1999,1,8,1,30,-7.2,-10.5,0.0,0.0,0.0,0.78,1029.0,335.0,2.8000000000000003,77.27851882114881
1999-01-08 02:30:00-05:00,1999,1,8,2,30,-7.300000000000001,-10.9,0.0,0.0,0.0,0.78,1029.0,349.0,2.6,75.4431831077039
1999-01-08 03:30:00-05:00,1999,1,8,3,30,-7.2,-11.0,0.0,0.0,0.0,0.78,1029.0,187.0,2.4000000000000004,74.27116596442823
1999-01-08 04:30:00-05:00,1999,1,8,4,30,-7.300000000000001,-11.1,0.0,0.0,0.0,0.78,1029.0,27.0,2.4000000000000004,74.25226831195333
1999-01-08 05:30:00-05:00,1999,1,8,5,30,-7.300000000000001,-11.1,0.0,0.0,0.0,0.78,1029.0,46.0,2.5,74.25226831195333
1999-01-08 06:30:00-05:00,1999,1,8,6,30,-6.800000000000001,-11.0,0.0,0.0,0.0,0.78,1029.0,62.0,2.4000000000000004,72.02182511672814
1999-01-08 07:30:00-05:00,1999,1,8,7,30,-5.6000000000000005,-10.4,5.0,0.0,5.0,0.78,1030.0,80.0,2.2,68.91966104172765
1999-01-08 08:30:00-05:00,1999,1,8,8,30,-4.3,-9.5,62.0,2.0,63.0,0.78,1030.0,100.0,2.3000000000000003,67.06509857066531
1999-01-08 09:30:00-05:00,1999,1,8,9,30,-3.2,-8.6,175.0,35.0,185.0,0.78,1030.0,118.0,2.7,66.27324454955537
