,Year,Month,Day,Hour,Minute,temp_air,dew_point,dhi,dni,ghi,albedo,pressure,wind_direction,wind_speed,relative_humidity
1999-01-01 00:30:00-05:00,1999,1,1,0,30,-5.6000000000000005,-9.1,0.0,0.0,0.0,0.13,1014.0,268.0,4.7,76.34493487863908
1999-01-01 01:30:00-05:00,1999,1,1,1,30,-5.4,-8.9,0.0,0.0,0.0,0.13,1014.0,267.0,5.0,76.3798719385517
1999-01-01 02:30:00-05:00,1999,1,1,2,30,-5.4,-8.700000000000001,0.0,0.0,0.0,0.13,1014.0,267.0,5.300000000000001,77.58182834882159
1999-01-01 03:30:00-05:00,1999,1,1,3,30,-5.2,-8.6,0.0,0.0,0.0,0.13,1014.0,268.0,5.5,77.01287233500197
1999-01-01 04:30:00-05:00,1999,1,1,4,30,-5.2,-8.4,0.0,0.0,0.0,0.13,1014.0,268.0,5.6000000000000005,78.221667460003
1999-01-01 05:30:00-05:00,1999,1,1,5,30,-5.300000000000001,-8.3,0.0,0.0,0.0,0.13,1015.0,269.0,5.7,79.43185104678714
1999-01-01 06:30:00-05:00,1999,1,1,6,30,-5.2,-8.3,0.0,0.0,0.0,0.13,1016.0,270.0,5.800000000000001,78.83237695475297
1999-01-01 07:30:00-05:00,1999,1,1,7,30,-4.4,-8.1,13.0,171.0,16.0,0.13,1016.0,272.0,6.0,75.3754418229622
1999-01-01 08:30:00-05:00,1999,1,1,8,30,-3.2,-7.7,46.0,611.0,152.0,0.13,1017.0,276.0,6.300000000000001,71.06971395354357
1999-01-01 09:30:00-05:00,1999,1,1,9,30,-2.2,-7.7,61.0,785.0,298.0,0.13,1018.0,282.0,6.6000000000000005,65.99001972357036
1999-01-01 10:30:00-05:00,1999,1,1,10,30,-1.7000000000000002,-8.6,236.0,145.0,293.0,0.13,1019.0,289.0,6.9,59.31012712363885
1999-01-01 11:30:00-05:00,1999,1,1,11,30,-1.5,-9.7,265.0,70.0,296.0,0.13,1019.0,294.0,7.0,53.62141981581144
1999-01-01 12:30:00-05:00,1999,1,1,12,30,-1.6,-10.5,265.0,61.0,291.0,0.13,1019.0,298.0,7.1000000000000005,50.71078277311674
1999-01-01 13:30:00-05:00,1999,1,1,13,30,-1.9,-11.2,73.0,0.0,73.0,0.13,1020.0,303.0,7.1000000000000005,49.03785350983124
1999-01-01 14:30:00-05:00,1999,1,1,14,30,-2.5,-11.5,59.0,813.0,302.0,0.13,1021.0,309.0,6.9,50.047025612378796
1999-01-01 15:30:00-05:00,1999,1,1,15,30,-3.5,-11.7,98.0,44.0,106.0,0.13,1023.0,315.0,6.800000000000001,53.054103418525074
1999-01-01 16:30:00-05:00,1999,1,1,16,30,-4.7,-12.1,12.0,203.0,16.0,0.13,1024.0,321.0,6.7,56.220207153219626
1999-01-01 17:30:00-05:00,1999,1,1,17,30,-6.0,-12.6,0.0,0.0,0.0,0.13,1026.0,326.0,6.7,59.59654147259938
1999-01-01 18:30:00-05:00,1999,1,1,18,30,-7.1000000000000005,-13.1,0.0,0.0,0.0,0.13,1028.0,329.0,6.4,62.266778419881625
1999-01-01 19:30:00-05:00,1999,1,1,19,30,-7.9,-13.6,0.0,0.0,0.0,0.14,1029.0,330.0,6.0,63.59913338319991
1999-01-01 20:30:00-05:00,1999,1,1,20,30,-8.6,-14.0,0.0,0.0,0.0,0.14,1030.0,331.0,5.800000000000001,65.0000565773701
1999-01-01 21:30:00-05:00,1999,1,1,21,30,-9.1,-14.2,0.0,0.0,0.0,0.14,1031.0,333.0,5.6000000000000005,66.49286047164495
1999-01-01 22:30:00-05:00,1999,1,1,22,30,-9.6,-14.4,0.0,0.0,0.0,0.14,1031.0,337.0,5.5,68.0293829001833
1999-01-01 23:30:00-05:00,1999,1,1,23,30,-10.1,-14.6,0.0,0.0,0.0,0.14,1031.0,343.0,5.300000000000001,69.61113503662688
1999-01-02 00:30:00-05:00,1999,1,2,0,30,-10.4,-14.6,0.0,0.0,0.0,0.14,1031.0,349.0,5.1000000000000005,71.28160217408974
1999-01-02 01:30:00-05:00,1999,1,2,1,30,-10.6,-14.5,0.0,0.0,0.0,0.14,1032.0,353.0,4.7,73.01656246382414
1999-01-02 02:30:00-05:00,1999,1,2,2,30,-10.7,-14.4,0.0,0.0,0.0,0.14,1032.0,355.0,4.2,74.20383337430083
1999-01-02 03:30:00-05:00,1999,1,2,3,30,-10.8,-14.4,0.0,0.0,0.0,0.14,1033.0,355.0,3.8,74.79525501145325
1999-01-02 04:30:00-05:00,1999,1,2,4,30,-10.7,-14.4,0.0,0.0,0.0,0.14,1033.0,357.0,3.6,74.20383337430083
1999-01-02 05:30:00-05:00,1999,1,2,5,30,-10.5,-14.5,0.0,0.0,0.0,0.14,1033.0,182.0,3.5,72.44019430745534
1999-01-02 06:30:00-05:00,1999,1,2,6,30,-10.4,-14.7,0.0,0.0,0.0,0.14,1033.0,6.0,3.3000000000000003,70.69862952705297
1999-01-02 07:30:00-05:00,1999,1,2,7,30,-10.0,-14.7,12.0,237.0,17.0,0.14,1033.0,6.0,3.0,68.49915871066855
1999-01-02 08:30:00-05:00,1999,1,2,8,30,-9.3,-14.7,90.0,127.0,112.0,0.14,1034.0,181.0,2.8000000000000003,64.83032553754883
1999-01-02 09:30:00-05:00,1999,1,2,9,30,-8.4,-14.8,150.0,235.0,221.0,0.14,1034.0,354.0,2.6,59.93501266768782
1999-01-02 10:30:00-05:00,1999,1,2,10,30,-7.5,-14.7,130.0,542.0,343.0,0.14,1033.0,347.0,2.3000000000000003,56.357985544657645
1999-01-02 11:30:00-05:00,1999,1,2,11,30,-6.6000000000000005,-14.7,258.0,78.0,292.0,0.14,1033.0,335.0,2.0,52.588571028396636
1999-01-02 12:30:00-05:00,1999,1,2,12,30,-5.800000000000001,-14.8,252.0,171.0,327.0,0.14,1032.0,320.0,1.7000000000000002,49.067015781938416
1999-01-02 13:30:00-05:00,1999,1,2,13,30,-5.4,-14.9,195.0,18.0,202.0,0.14,1031.0,319.0,1.4,47.20824455762572
1999-01-02 14:30:00-05:00,1999,1,2,14,30,-5.1000000000000005,-15.3,160.0,21.0,166.0,0.14,1030.0,324.0,1.2000000000000002,44.65040885117476
1999-01-02 15:30:00-05:00,1999,1,2,15,30,-5.0,-14.9,56.0,1.0,56.0,0.14,1030.0,166.0,1.2000000000000002,45.79975224680171
1999-01-02 16:30:00-05:00,1999,1,2,16,30,-5.1000000000000005,-14.8,12.0,173.0,15.0,0.14,1030.0,24.0,1.4,46.528641742613424
1999-01-02 17:30:00-05:00,1999,1,2,17,30,-5.1000000000000005,-13.0,0.0,0.0,0.0,0.14,1029.0,52.0,2.0,53.88874069617859
1999-01-02 18:30:00-05:00,1999,1,2,18,30,-4.9,-12.3,0.0,0.0,0.0,0.14,1029.0,69.0,2.5,56.16495577333478
1999-01-02 19:30:00-05:00,1999,1,2,19,30,-4.5,-11.4,0.0,0.0,0.0,0.14,1028.0,80.0,2.9000000000000004,58.57216530449219
1999-01-02 20:30:00-05:00,1999,1,2,20,30,-4.0,-10.6,0.0,0.0,0.0,0.14,1028.0,91.0,3.3000000000000003,60.12009210561681
1999-01-02 21:30:00-05:00,1999,1,2,21,30,-3.3000000000000003,-9.6,0.0,0.0,0.0,0.14,1026.0,98.0,4.1000000000000005,61.7420514052347
1999-01-02 22:30:00-05:00,1999,1,2,22,30,-2.6,-8.3,0.0,0.0,0.0,0.14,1025.0,101.0,5.0,64.88190610152662
1999-01-02 23:30:00-05:00,1999,1,2,23,30,-1.8,-7.0,0.0,0.0,0.0,0.14,1023.0,105.0,5.6000000000000005,67.62592361945146
1999-01-03 00:30:00-05:00,1999,1,3,0,30,-0.8,-5.4,0.0,0.0,0.0,0.14,1022.0,108.0,6.1000000000000005,71.01393785980785
1999-01-03 01:30:00-05:00,1999,1,3,1,30,0.3,-3.5,0.0,0.0,0.0,0.14,1020.0,111.0,6.800000000000001,75.63479963974682
1999-01-03 02:30:00-05:00,1999,1,3,2,30,1.5,-1.5,0.0,0.0,0.0,0.14,1017.0,115.0,7.7,80.44752575111448
1999-01-03 03:30:00-05:00,1999,1,3,3,30,3.1,0.7000000000000001,0.0,0.0,0.0,0.14,1014.0,121.0,8.6,84.25183228976573
1999-01-03 04:30:00-05:00,1999,1,3,4,30,4.9,2.9000000000000004,0.0,0.0,0.0,0.14,1012.0,125.0,9.4,86.89279410772863
1999-01-03 05:30:00-05:00,1999,1,3,5,30,6.5,4.7,0.0,0.0,0.0,0.14,1010.0,128.0,9.9,88.27422665585746
1999-01-03 06:30:00-05:00,1999,1,3,6,30,7.800000000000001,6.2,0.0,0.0,0.0,0.14,1008.0,133.0,10.0,89.61695199403263
1999-01-03 07:30:00-05:00,1999,1,3,7,30,9.0,7.6,2.0,0.0,2.0,0.14,1006.0,137.0,10.2,90.9434289972252
