wavelength_nm,eqe_top,eqe_bot
300,0.0,0.0
302,0.0,0.0
304,0.0982301566779882,0.0
306,0.297252995860347,0.0
308,0.4044519929306733,0.0
310,0.416410446787124,0.0
312,0.4260199186360577,0.0
314,0.4347752152095305,0.0
316,0.4435305117830034,0.0
318,0.4510045454432851,0.0
320,0.4582650352847016,0.0
322,0.4669491505852194,0.0
324,0.4773416164366588,0.0
326,0.4895847953849298,0.0
328,0.5023974245168413,0.0
330,0.5141423345544268,0.0
332,0.5271210533232336,0.0
334,0.542092847734782,0.0
336,0.5553088374134388,0.0
338,0.5658199387198032,0.0
340,0.5767106734819281,0.0
342,0.5880284958817832,0.0
344,0.5999157684652788,0.0
346,0.613582572872651,0.0
348,0.626893470915248,0.0
350,0.6396349187742045,0.0
352,0.6519492789954306,0.0
354,0.6625552886657351,0.0
356,0.6727342106983091,0.0
358,0.6844791207358948,0.0
360,0.6970782060489412,0.0
362,0.7091078411783469,0.0
364,0.7196426695756963,0.0
366,0.7288250537868997,0.0
368,0.7400005136408447,0.0
370,0.7545926745966328,0.0
372,0.7687577479146905,0.0
374,0.7795061201309051,0.0
376,0.7879766916125578,0.0
378,0.7951660001810194,0.0
380,0.8023553087494807,0.0
382,0.8123206869631896,0.0
384,0.8244926846385056,0.0
386,0.83509869430881,0.0
388,0.8422880028772716,0.0
390,0.847057148165261,0.0
392,0.8509721181777894,0.0
394,0.8550294507362282,0.0
396,0.8590867832946668,0.0
398,0.8631441158531054,0.0
400,0.8676997173222294,0.0
402,0.872895950247949,0.0
404,0.8786616333573093,0.0
406,0.8835731411912087,0.0
408,0.8866339359282764,0.0
410,0.8888405553898835,0.0
412,0.8907624497596702,0.0
414,0.8922572564917264,0.0
416,0.8936097006778726,0.0
418,0.8953180512287943,0.0
420,0.8973823081444912,0.0
422,0.8991618399683676,0.0
424,0.9000871965167834,0.0
426,0.9003007403356487,0.0
428,0.9005142841545138,0.0
430,0.9011549156111094,0.0
432,0.901795547067705,0.0
434,0.9020090908865702,0.0
436,0.9020090908865702,0.0
438,0.9022226347054354,0.0
440,0.9030056287079412,0.0
