,GHI,DHI,DNI,DryBulb,Wspd,zenith,azimuth,elevation,trackingdata_surface_tilt,trackingdata_surface_azimuth,C,D
1999-01-01 08:30:00-07:00,76.0,0.0,65.0,1.0,4.7,1.326815572606955,2.3898330200797675,0.24398075418794138,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-01-01 09:30:00-07:00,246.0,0.0,503.0,2.0,6.300000000000002,1.2060033599078532,2.608395162575706,0.3647929668870433,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-01-01 10:30:00-07:00,355.0,0.0,617.0,3.0,7.0,1.1255899904025704,2.8555721926391824,0.44520633639232626,30.595290362001194,90.0,0.14551466891800086,0.6392161333666034
1999-01-01 11:30:00-07:00,385.0,0.0,497.0,4.0,6.800000000000002,1.094828056503155,3.1223856810337574,0.47596827029174166,2.1336727682588266,90.0,0.3813844958422636,0.5006933143324752
1999-01-01 12:30:00-07:00,128.0,0.0,0.0,4.0,6.5,1.117930235988893,3.390677390407178,0.4528660908060037,26.86753219232559,269.99999914622634,0.17403535916911048,0.6079462323510604
1999-01-01 13:30:00-07:00,99.0,0.0,0.0,3.0,6.0,1.1916940931506725,3.641512795136118,0.37910223364422413,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-01-01 14:30:00-07:00,24.0,0.0,0.0,2.0,5.1000000000000005,1.3073385080059827,3.8643789763840966,0.2634578187889137,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-01-01 15:30:00-07:00,63.0,0.0,0.0,0.0,3.6,1.4545177299347687,4.058719341145989,0.11627859686012774,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-01-01 16:30:00-07:00,8.0,0.0,0.0,-1.0,2.6,1.6034169114390846,4.210985495964032,-0.0326205846441878,90.0,,-0.09999999999999998,1.5
1999-01-02 08:30:00-07:00,56.0,0.0,0.0,-5.0,2.6,1.3266529437962384,2.3873589229251286,0.24414338299865804,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-01-02 09:30:00-07:00,320.0,0.0,842.0,-3.0,3.8,1.2054350920105485,2.6058888981957247,0.365361234784348,50.0,90.0,0.016977778440511015,0.8572123903134606
1999-01-02 10:30:00-07:00,162.0,0.0,21.0,-2.0,4.5,1.1245611298346625,2.8531545741000945,0.44623519696023406,30.734525198410687,90.0,0.1444695232069858,0.6404555266190473
1999-01-02 11:30:00-07:00,271.0,0.0,134.0,-1.0,4.800000000000002,1.0933387145633886,3.1202465189668844,0.47745761223150784,2.3623813127005855,90.0,0.3793901746399423,0.5008498909600662
1999-01-02 12:30:00-07:00,240.0,0.0,76.0,-1.0,4.9,1.1160512965643226,3.3889849790929047,0.45474503023057394,26.604048691917104,270.0,0.17608886482722114,0.6058774053953506
1999-01-02 13:30:00-07:00,115.0,0.0,0.0,-1.0,4.7,1.1895404406050063,3.640323547571465,0.3812558861898902,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-01-02 14:30:00-07:00,125.0,0.0,15.0,-2.0,4.2,1.3050223891905355,3.8636412884829974,0.26577393760436124,50.0,270.0,0.016977778440511015,0.8572123903134606
1999-01-02 15:30:00-07:00,24.0,0.0,0.0,-3.0,3.5,1.4521215216674197,4.058338326129073,0.11867480512747684,50.0,270.0,0.016977778440511015,0.8572123903134606
